39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
38.0, Private,215646.0, HS-grad,9.0, Divorced, Handlers-cleaners,, White, Male,0.0,,40.0, United-States, <=50K
53.0, Private,234721.0, 11th,7.0, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0.0,0.0,40.0, United-States,
, Private,338409.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Wife, Black, Female,,,40.0, Cuba, <=50K
37.0, Private,284582.0, Masters,14.0, Married-civ-spouse,,,,,,0.0,40.0, United-States, <=50K
49.0, Private,, 9th,5.0, Married-spouse-absent, Other-service, Not-in-family, Black, Female,,0.0,16.0, Jamaica, <=50K
52.0, Self-emp-not-inc,,,, Married-civ-spouse,, Husband, White,,,0.0,45.0, United-States,
31.0,,, Masters,14.0,, Prof-specialty, Not-in-family, White, Female,14084.0,,50.0, United-States, >50K
42.0, Private,,,13.0, Married-civ-spouse,, Husband, White, Male,5178.0,0.0,40.0, United-States, >50K
37.0,,280464.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0,0.0,80.0, United-States, >50K
30.0, State-gov,141297.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0.0,,40.0, India, >50K
23.0, Private,122272.0,,13.0, Never-married, Adm-clerical, Own-child, White, Female,,0.0,30.0, United-States, <=50K
32.0, Private,205019.0, Assoc-acdm,12.0, Never-married, Sales, Not-in-family, Black, Male,0.0,0.0,50.0,, <=50K
, Private,, Assoc-voc,11.0, Married-civ-spouse,,, Asian-Pac-Islander, Male,0.0,,, ?, >50K
34.0, Private,245487.0, 7th-8th,, Married-civ-spouse, Transport-moving, Husband,,,,0.0,45.0,, <=50K
25.0, Self-emp-not-inc,176756.0, HS-grad,9.0, Never-married, Farming-fishing, Own-child,, Male,,0.0,35.0,, <=50K
32.0, Private,186824.0, HS-grad,9.0, Never-married, Machine-op-inspct, Unmarried, White, Male,0.0,0.0,40.0, United-States, <=50K
, Private,, 11th,7.0,, Sales, Husband,, Male,0.0,0.0,50.0,,
43.0, Self-emp-not-inc,,,14.0, Divorced,, Unmarried, White, Female,0.0,0.0,45.0, United-States, >50K
40.0, Private,193524.0,,16.0,, Prof-specialty,, White, Male,,0.0,60.0, United-States,
,,,,9.0, Separated, Other-service, Unmarried,, Female,0.0,0.0,20.0, United-States, <=50K
35.0, Federal-gov,76845.0, 9th,5.0,, Farming-fishing, Husband, Black, Male,0.0,0.0,40.0, United-States, <=50K
43.0, Private,117037.0,,7.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,2042.0,40.0, United-States,
59.0, Private,109015.0,,9.0,,, Unmarried, White, Female,0.0,0.0,, United-States, <=50K
, Local-gov,216851.0,,13.0, Married-civ-spouse,, Husband,, Male,0.0,0.0,40.0,,
19.0, Private,168294.0, HS-grad,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
54.0, ?,180211.0, Some-college,, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,0.0,,60.0, South, >50K
39.0, Private,367260.0, HS-grad,9.0, Divorced,, Not-in-family, White,,,0.0,80.0, United-States, <=50K
49.0, Private,, HS-grad,, Married-civ-spouse, Craft-repair, Husband,, Male,0.0,0.0,, United-States,
23.0,,190709.0, Assoc-acdm,, Never-married,, Not-in-family, White, Male,,,52.0,, <=50K
20.0, Private,266015.0, Some-college,10.0, Never-married, Sales,,, Male,0.0,,44.0, United-States, <=50K
45.0, Private,386940.0, Bachelors,13.0,, Exec-managerial,,, Male,0.0,1408.0,40.0, United-States, <=50K
, Federal-gov,,,10.0, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
, State-gov,, Some-college,, Married-civ-spouse,, Husband, Black, Male,0.0,0.0,15.0, United-States,
48.0, Private,242406.0, 11th,7.0, Never-married, Machine-op-inspct, Unmarried, White,,0.0,0.0,40.0, Puerto-Rico, <=50K
21.0, Private,197200.0,,10.0, Never-married, Machine-op-inspct, Own-child, White, Male,0.0,,40.0, United-States, <=50K
, Private,544091.0, HS-grad,9.0, Married-AF-spouse, Adm-clerical, Wife, White, Female,,,25.0, United-States, <=50K
31.0, Private,84154.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,, ?,
48.0, Self-emp-not-inc,265477.0, Assoc-acdm,12.0,, Prof-specialty, Husband,, Male,0.0,0.0,40.0, United-States,
31.0, Private,507875.0, 9th,, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,43.0, United-States,
53.0, Self-emp-not-inc,88506.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States,
24.0, Private,172987.0, Bachelors,, Married-civ-spouse, Tech-support, Husband, White, Male,,0.0,50.0,,
49.0, Private,94638.0,,, Separated, Adm-clerical, Unmarried, White, Female,0.0,,40.0, United-States, <=50K
25.0, Private,289980.0, HS-grad,9.0, Never-married, Handlers-cleaners,, White, Male,0.0,0.0,35.0, United-States, <=50K
57.0, Federal-gov,337895.0, Bachelors,13.0, Married-civ-spouse,, Husband, Black, Male,0.0,0.0,40.0, United-States, >50K
53.0, Private,144361.0, HS-grad,, Married-civ-spouse, Machine-op-inspct, Husband, White,,,0.0,, United-States, <=50K
, Private,128354.0, Masters,14.0, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,40.0, United-States,
